trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
108,False,"{'a': 0.5, 'e': 0.9942755}",20,0,-7.880736881980675,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
109,False,"{'a': 0.5, 'e': 0.994168}",30,0,-146.542998523507,"{0: 17, 1: 4, 2: 7, 3: 0, 4: 2}",0
110,False,"{'a': 0.5, 'e': 0.9940595}",35,0,-221.62868707563985,"{0: 22, 1: 1, 2: 6, 3: 3, 4: 3}",0
111,False,"{'a': 0.5, 'e': 0.99395}",20,0,-96.11531822528418,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
112,False,"{'a': 0.5, 'e': 0.9938395}",25,0,-188.77322576938286,"{0: 11, 1: 2, 2: 9, 3: 1, 4: 2}",0
113,False,"{'a': 0.5, 'e': 0.993728}",20,0,-70.76502631666092,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
114,False,"{'a': 0.5, 'e': 0.9936155}",25,0,-42.03414842539546,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
115,False,"{'a': 0.5, 'e': 0.993502}",25,0,-143.39321752805793,"{0: 15, 1: 0, 2: 8, 3: 0, 4: 2}",0
116,False,"{'a': 0.5, 'e': 0.9933875}",25,0,-142.16560298163049,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
117,False,"{'a': 0.5, 'e': 0.993272}",20,0,-60.73981295600225,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
118,False,"{'a': 0.5, 'e': 0.9931555}",20,0,-93.99275103322013,"{0: 13, 1: 4, 2: 1, 3: 0, 4: 2}",0
119,False,"{'a': 0.5, 'e': 0.993038}",25,0,-180.48931163024912,"{0: 13, 1: 2, 2: 7, 3: 0, 4: 3}",0
120,False,"{'a': 0.5, 'e': 0.9929195}",20,0,-163.24233981386445,"{0: 8, 1: 5, 2: 4, 3: 1, 4: 2}",0
121,False,"{'a': 0.5, 'e': 0.9928}",20,11,-63.33572878495286,"{0: 5, 1: 0, 2: 3, 3: 0, 4: 1}",1
122,False,"{'a': 0.5, 'e': 0.9926795}",20,0,-86.62983131747755,"{0: 11, 1: 2, 2: 5, 3: 2, 4: 0}",0
123,False,"{'a': 0.5, 'e': 0.992558}",25,0,-124.95783632565124,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
